Wavelength     Transit Depth       Err_Transit Depth   Resolution          
3.745190       -0.0004191094       0.0041723911        195.941055          
3.764285       0.0011705319        0.0018408241        197.134590          
3.783380       0.0031453683        0.0008769490        198.134590          
3.802977       0.0023549897        0.0004359361        194.054216          
3.822072       0.0020245997        0.0002258431        200.160906          
3.841168       0.0020990204        0.0001148981        201.160906          
3.861267       0.0019167193        0.0000643844        192.102861          
3.880362       0.0020046127        0.0000435135        203.213538          
3.899458       0.0019519755        0.0000342353        204.213538          
3.919055       0.0019433869        0.0000321687        199.977293          
3.939155       0.0019784271        0.0000306838        195.977861          
3.959255       0.0019717652        0.0000306772        196.977861          
3.979355       0.0019220104        0.0000308695        197.977861          
3.999455       0.0019646721        0.0000304192        198.977861          
4.020058       0.0019483564        0.0000314839        195.124742          
4.040158       0.0019557920        0.0000317630        201.002861          
4.060258       0.0019875921        0.0000320576        202.002861          
4.081363       0.0019543045        0.0000315935        193.383677          
4.101965       0.0019897479        0.0000319209        199.100352          
4.123070       0.0020079642        0.0000322566        195.359867          
4.144175       0.0019755361        0.0000326116        196.359867          
4.165280       0.0020475120        0.0000329928        197.359867          
4.186385       0.0019503443        0.0000334033        198.359867          
4.207992       0.0021090691        0.0000338296        194.746847          
4.229097       0.0021229444        0.0000334538        200.383677          
4.251207       0.0021840384        0.0000347251        192.275328          
4.272312       0.0022452393        0.0000351816        202.431296          
4.293418       0.0021742436        0.0000348124        203.431296          
4.316030       0.0022078338        0.0000352898        190.869210          
4.338140       0.0021310634        0.0000357916        196.207146          
4.360250       0.0022023740        0.0000363242        197.207146          
4.382360       0.0022208167        0.0000361101        198.207146          
4.404973       0.0021466290        0.0000375362        194.802543          
4.427083       0.0020750325        0.0000381075        200.229873          
4.449193       0.0022160956        0.0000386366        201.229873          
4.472307       0.0021319194        0.0000382669        193.480748          
4.494417       0.0021454511        0.0000395872        203.275328          
4.517030       0.0021262832        0.0000392444        199.758098          
4.540145       0.0021062160        0.0000397763        196.415531          
4.563260       0.0021031381        0.0000403623        197.415531          
4.586375       0.0021108118        0.0000409604        198.415531          
4.609992       0.0021765805        0.0000415947        195.193924          
4.633108       0.0022109528        0.0000414219        200.437270          
4.657227       0.0021501414        0.0000422225        193.085717          
4.681347       0.0021931479        0.0000430338        194.085717          
4.705970       0.0021577515        0.0000437638        191.124784          
4.730090       0.0022077760        0.0000444301        196.106551          
4.754210       0.0022494610        0.0000451503        197.106551          
4.778330       0.0021749000        0.0000450143        198.106551          
4.802952       0.0021634863        0.0000467660        195.063560          
4.828077       0.0021944839        0.0000466340        192.162289          
4.852197       0.0021765668        0.0000485185        201.169051          
4.876317       0.0022624716        0.0000496715        202.169051          
4.900940       0.0022213518        0.0000501893        199.043152          
4.926065       0.0021968979        0.0000520414        196.062289          
4.951190       0.0022516479        0.0000470694        197.062289          
4.998425       0.0020857849        0.0000694012        105.820366          
