Wavelength     Transit Depth       Err_Transit Depth   Resolution          
2.412310       0.0017839511        0.0000797669        196.398593          
2.425123       0.0017276808        0.0000566336        189.277854          
2.437183       0.0016641229        0.0000441151        202.088101          
2.450248       0.0017114814        0.0000415013        187.542863          
2.462308       0.0017356592        0.0000401157        204.171434          
2.474368       0.0017130157        0.0000396839        205.171434          
2.486428       0.0017566969        0.0000393121        206.171434          
2.499493       0.0018591441        0.0000377297        191.312093          
2.512055       0.0018414676        0.0000376059        199.964577          
2.525120       0.0018258209        0.0000373038        193.273632          
2.538185       0.0019016032        0.0000368871        194.273632          
2.551250       0.0018240229        0.0000366059        195.273632          
2.564315       0.0018799062        0.0000364292        196.273632          
2.577380       0.0018111805        0.0000361844        197.273632          
2.590445       0.0018802807        0.0000355527        198.273632          
2.604013       0.0018384772        0.0000348978        191.930164          
2.617078       0.0018179826        0.0000346915        200.312093          
2.630142       0.0018078554        0.0000346210        201.312093          
2.643207       0.0017615896        0.0000344560        202.312093          
2.656273       0.0018085254        0.0000329747        203.312093          
2.670342       0.0018951914        0.0000339987        189.789801          
2.683407       0.0018732776        0.0000338360        205.389016          
2.696473       0.0018681615        0.0000324631        206.389016          
2.710040       0.0018238979        0.0000334668        199.744979          
2.724110       0.0018797307        0.0000320286        193.611230          
2.738180       0.0018539415        0.0000319017        194.611230          
2.752250       0.0018156968        0.0000308028        195.611230          
2.766320       0.0018482457        0.0000330691        196.611230          
2.780390       0.0018497175        0.0000316719        197.611230          
2.794460       0.0018708988        0.0000302727        198.611230          
2.809032       0.0018915503        0.0000311292        192.762566          
2.823103       0.0018259065        0.0000310511        200.646944          
2.838178       0.0018295553        0.0000299392        188.270481          
2.852247       0.0018053227        0.0000309202        202.718372          
2.866318       0.0018092630        0.0000308369        203.718372          
2.881393       0.0018375391        0.0000297257        191.137148          
2.895462       0.0018288004        0.0000307245        205.789801          
2.910035       0.0018965944        0.0000296990        199.693601          
2.925110       0.0018825079        0.0000296900        194.037148          
2.940185       0.0018499155        0.0000297140        195.037148          
2.955260       0.0017984741        0.0000297444        196.037148          
2.970335       0.0018127676        0.0000297309        197.037148          
2.985410       0.0018540757        0.0000296418        198.037148          
3.000987       0.0018125462        0.0000294924        192.648853          
3.016062       0.0018225303        0.0000293783        200.070481          
3.031137       0.0018269698        0.0000293340        201.070481          
3.046213       0.0018529416        0.0000293813        202.070481          
3.061288       0.0018131543        0.0000294637        203.070481          
3.076363       0.0018005511        0.0000285427        204.070481          
3.092443       0.0018141680        0.0000284804        192.316076          
3.108020       0.0017860677        0.0000293650        199.519820          
3.124100       0.0017315094        0.0000283622        194.284826          
3.140180       0.0018049659        0.0000274888        195.284826          
3.156260       0.0017947263        0.0000292500        196.284826          
3.172340       0.0017856486        0.0000283027        197.284826          
3.188420       0.0017364947        0.0000274343        198.284826          
3.205002       0.0017736022        0.0000283077        193.276195          
3.221083       0.0017151242        0.0000283650        200.316076          
3.237163       0.0017499364        0.0000284154        201.316076          
3.254247       0.0017116057        0.0000276123        190.473954          
3.270328       0.0017297214        0.0000284826        203.378576          
3.286408       0.0017159340        0.0000276229        204.378576          
3.303995       0.0016903098        0.0000276584        187.860412          
3.321080       0.0017363316        0.0000276721        194.385718          
3.338165       0.0017159053        0.0000276632        195.385718          
3.355250       0.0017384381        0.0000276301        196.385718          
3.372335       0.0016846615        0.0000275887        197.385718          
3.389420       0.0016952180        0.0000275634        198.385718          
3.407008       0.0016499559        0.0000276248        193.717555          
3.424092       0.0016787271        0.0000277153        200.415130          
3.441177       0.0016582510        0.0000270070        201.415130          
3.459268       0.0017250153        0.0000270574        191.225401          
3.477358       0.0016403260        0.0000270706        192.225401          
3.495448       0.0017111910        0.0000270779        193.225401          
3.513035       0.0016423443        0.0000279363        199.746127          
3.531125       0.0017053146        0.0000272261        195.197623          
3.549215       0.0016615282        0.0000273384        196.197623          
3.567305       0.0016201340        0.0000274492        197.197623          
3.585395       0.0016740259        0.0000268052        198.197623          
3.603988       0.0016616831        0.0000276226        193.840930          
3.623083       0.0016813029        0.0000269717        189.739853          
3.641173       0.0016409790        0.0000278130        201.280956          
3.660267       0.0016004728        0.0000271842        191.687222          
3.678358       0.0016266628        0.0000280457        203.336512          
3.697452       0.0015550795        0.0000274373        193.634590          
3.716045       0.0016000044        0.0000276096        199.867958          
3.735140       0.0015734334        0.0000277607        195.608274          
3.754235       0.0016571812        0.0000279105        196.608274          
3.773330       0.0015841849        0.0000280699        197.608274          
3.792425       0.0015702352        0.0000282527        198.608274          
3.812022       0.0015901189        0.0000277655        194.515755          
3.832123       0.0015856443        0.0000287585        190.652861          
3.851218       0.0015606109        0.0000290561        201.687222          
3.870312       0.0016189955        0.0000293742        202.687222          
3.889407       0.0015890703        0.0000289505        203.687222          
3.909005       0.0015832922        0.0000300075        199.464473          
3.929105       0.0015716938        0.0000295408        195.477861          
3.949205       0.0015953465        0.0000300605        196.477861          
3.969305       0.0015797342        0.0000313399        197.477861          
3.989405       0.0015591996        0.0000340799        198.477861          
4.010008       0.0016132801        0.0000426476        194.636937          
4.031113       0.0015547623        0.0000555601        191.002724          
4.052218       0.0015832447        0.0000824610        192.002724          
4.072318       0.0014179186        0.0001347808        202.602861          
4.093422       0.0015609280        0.0002270846        193.955105          
4.114025       0.0012225397        0.0004385383        199.685718          
4.135130       0.0012474683        0.0009563177        195.931296          
4.156235       0.0023659363        0.0021721495        196.931296          
4.177340       0.0090335093        0.0053749967        197.931296          
4.219550       0.0046587372        0.0252134578        99.965648           
